순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,충청남도,예산군,스플라스리솜예산,충남 예산군 온천단지3로 45-7,숙박,콘도미니엄,120130
2,충청남도,천안시 동남구,소노벨천안,충남 천안시 동남구 종합휴양지로 200-0,숙박,콘도미니엄,93215
3,충청남도,부여군,롯데리조트부여,충남 부여군 백제문로 400-0,숙박,콘도미니엄,76162
4,충청남도,태안군,아일랜드리솜태안,충남 태안군 꽃지해안로 204-0,숙박,콘도미니엄,69236
5,충청남도,보령시,한화리조트대천파로스,충남 보령시 해수욕장3길 11-10,숙박,콘도미니엄,55541
6,충청남도,천안시 서북구,신라스테이천안,충남 천안시 서북구 동서대로 177-0,숙박,호텔,35856
7,충청남도,보령시,비체팰리스,충남 보령시 열린바다1길 78-0,숙박,콘도미니엄,33121
8,충청남도,아산시,온양관광호텔,충남 아산시 온천대로 1459-0,숙박,호텔,23671
9,충청남도,예산군,세심천온천호텔,충남 예산군 수암산로 210-0,숙박,호텔,23171
10,충청남도,보령시,국군대천콘도,충남 보령시 갓바위1길 10-30,숙박,콘도미니엄,13028
11,충청남도,아산시,온양제일호텔,충남 아산시 온천대로 1462-0,숙박,호텔,11662
12,충청남도,천안시 서북구,오엔시티호텔,충남 천안시 서북구 불당4로 105-0,숙박,호텔,11397
13,충청남도,태안군,몽산포오션캠핑장,충남 태안군 몽산포길 0-0,숙박,캠핑,11288
14,충청남도,서산시,베니키아호텔서산,충남 서산시 안견로 465-0,숙박,호텔,11286
15,충청남도,천안시 서북구,라마다앙코르천안호텔,충남 천안시 서북구 차돌들길 12-0,숙박,호텔,10715
16,충청남도,아산시,더위트도고콘도,충남 아산시 기곡로62번길 6-8,숙박,콘도미니엄,10210
17,충청남도,보령시,호텔쏠레르,충남 보령시 해수욕장8길 28-0,숙박,호텔,9709
18,충청남도,아산시,아산스파포레,충남 아산시 아산온천로157번길 67-0,숙박,캠핑,8910
19,충청남도,천안시 서북구,호텔리움,충남 천안시 서북구 두정상가3길 21-0,숙박,모텔,8786
20,충청남도,보령시,환상의바다리조트,충남 보령시 대천항1길 67-7,숙박,콘도미니엄,8652
21,충청남도,보령시,보령베이스리조트,충남 보령시 옥마벚길 10-0,숙박,콘도미니엄,8643
22,충청남도,예산군,스파뷰호텔,충남 예산군 온천단지2로 77-0,숙박,호텔,8630
23,충청남도,태안군,서초휴양소,충남 태안군 안면대로 571-12,숙박,콘도미니엄,8231
24,충청남도,태안군,나문재펜션,충남 태안군 통샘길 87-340,숙박,펜션/민박,8229
25,충청남도,태안군,센티마르펜션,충남 태안군 학암포길 47-6,숙박,펜션/민박,8134
26,충청남도,보령시,호텔파레브,충남 보령시 해수욕장8길 70-0,숙박,호텔,7926
27,충청남도,아산시,슈어스테이플러스호텔,충남 아산시 온샘로 32-0,숙박,호텔,7836
28,충청남도,아산시,아산온천호텔,충남 아산시 아산온천로 217-7,숙박,호텔,7375
29,충청남도,공주시,호텔공주,충남 공주시 전막2길 10-6,숙박,호텔,7000
30,충청남도,천안시 동남구,더메인즈호텔,충남 천안시 동남구 청수11로 34-0,숙박,호텔,6972
31,충청남도,아산시,아산곡교천야영장,충남 아산시 곡교천로 407-0,숙박,캠핑,6655
32,충청남도,천안시 서북구,노블레스호텔,충남 천안시 서북구 두정상가7길 15-0,숙박,모텔,6605
33,충청남도,당진시,호텔로씨오,충남 당진시 한진포구길 30-38,숙박,호텔,6433
34,충청남도,천안시 서북구,녹스호텔,충남 천안시 서북구 성정공원6길 61-0,숙박,호텔,6431
35,충청남도,천안시 서북구,호텔제이탑,충남 천안시 서북구 검은들3길 19-0,숙박,모텔,6324
36,충청남도,예산군,가야관광호텔,충남 예산군 신평1길 14-0,숙박,호텔,6261
37,충청남도,서산시,아리아호텔,충남 서산시 동헌로 94-0,숙박,모텔,6192
38,충청남도,태안군,신두57캠핑장,충남 태안군 신두해변길 201-31,숙박,캠핑,5958
39,충청남도,공주시,파크오브드림,충남 공주시 동학사1로 46-0,숙박,캠핑,5887
40,충청남도,서천군,춘장대솔내음야영장,충남 서천군 춘장대로151번길 31-0,숙박,캠핑,5709
41,충청남도,태안군,풍경펜션,충남 태안군 나루터길 438-8,숙박,펜션/민박,5571
42,충청남도,천안시 서북구,어반스테이,충남 천안시 서북구 성정공원4길 29-0,숙박,모텔,5504
43,충청남도,태안군,어은돌송림캠핑장,충남 태안군 모항파도로 398-42,숙박,캠핑,5378
44,충청남도,서산시,헬로호텔,충남 서산시 읍내2로 14-0,숙박,호텔,5324
45,충청남도,태안군,학암포오토캠핑장,충남 태안군 옥파로 1152-37,숙박,캠핑,5296
46,충청남도,계룡시,구룡콘도,충남 계룡시 암용추로 89-0,숙박,콘도미니엄,5268
47,충청남도,보령시,데이나이스호텔,충남 보령시 해수욕장8길 60-0,숙박,호텔,5136
48,충청남도,당진시,당진시티호텔,충남 당진시 시청2로 43-0,숙박,호텔,5126
49,충청남도,천안시 서북구,자자호텔,충남 천안시 서북구 성정공원5로 60-0,숙박,호텔,5103
50,충청남도,천안시 동남구,독립기념관야영장,충남 천안시 동남구 독립기념관로 1-0,숙박,캠핑,4995
51,충청남도,천안시 동남구,탑클라우드호텔천안점,충남 천안시 동남구 서부역6길 3-0,숙박,모텔,4960
52,충청남도,천안시 서북구,브라운도트호텔천안성정점,충남 천안시 서북구 성정공원4길 28-0,숙박,호텔,4956
53,충청남도,천안시 서북구,소설스미스호텔천안점,충남 천안시 서북구 성정공원5로 64-0,숙박,호텔,4946
