언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,천안시 동남구,충청남도,The Independence Hall of Korea (독립기념관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268181,인문(문화/예술/역사),문화시설,기념관,1468
영어권,천안시 동남구,충청남도,Gakwonsa Temple (각원사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264605,인문(문화/예술/역사),역사관광지,사찰,1287
영어권,천안시 동남구,충청남도,Sono Belle Cheonan Ocean Park (소노벨 천안 오션파크),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1158759,인문(문화/예술/역사),휴양관광지,테마공원,484
영어권,천안시 동남구,충청남도,Cheonan Three-way Intersection Park (천안삼거리공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1840356,인문(문화/예술/역사),휴양관광지,공원,254
영어권,천안시 동남구,충청남도,Sangnok Aquapia (천안상록리조트 아쿠아피아),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264624,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,88
영어권,천안시 동남구,충청남도,Cheonan Gwangdeoksa Temple (광덕사(천안)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264604,인문(문화/예술/역사),역사관광지,사찰,63
영어권,천안시 동남구,충청남도,Korea History and Culture Park (한민족역사문화공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1007692,인문(문화/예술/역사),휴양관광지,공원,23
영어권,천안시 동남구,충청남도,Taehaksan Recreational Forest (태학산자연휴양림),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=800841,자연,자연관광지,자연휴양림,11
영어권,천안시 동남구,충청남도,Nogwon (녹원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=941707,음식,음식점,한식,2
영어권,천안시 동남구,충청남도,Cheonan Metro Tourist Hotel (천안메트로관광호텔),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1345512,숙박,숙박시설,관광호텔,2
