언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중번체,천안시 동남구,충청남도,天安獨立紀念館(천안 독립기념관),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333070,인문(문화/예술/역사),문화시설,기념관,258
중번체,천안시 동남구,충청남도,覺願寺(각원사),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332836,인문(문화/예술/역사),역사관광지,사찰,85
중번체,천안시 동남구,충청남도,Soho Belle天安水上樂園(소노벨 천안 오션어드벤처),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1163004,인문(문화/예술/역사),휴양관광지,테마공원,72
중번체,천안시 동남구,충청남도,天安三?路公園(천안삼거리공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2426122,인문(문화/예술/역사),휴양관광지,공원,65
중번체,천안시 동남구,충청남도,柳寬順烈士遺址(유관순 열사 유적지),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1215296,인문(문화/예술/역사),역사관광지,유적지/사적지,38
중번체,천안시 동남구,충청남도,天安常綠渡假村 Aquapia(천안상록리조트 아쿠아피아),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332635,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,12
중번체,천안시 동남구,충청남도,廣德寺(天安)(광덕사(천안)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332835,인문(문화/예술/역사),역사관광지,사찰,10
중번체,천안시 동남구,충청남도,韓民族歷史文化公園(한민족역사문화공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1807382,인문(문화/예술/역사),휴양관광지,공원,4
중번체,천안시 동남구,충청남도,野花(들꽃),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=920534,음식,음식점,한식,3
중번체,천안시 동남구,충청남도,綠園(녹원한정식),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=920547,음식,음식점,한식,2
중번체,천안시 동남구,충청남도,泰鶴山自然休養林(태학산자연휴양림),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2041504,자연,자연관광지,자연휴양림,1
