시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
천안시 서북구,충청남도,천안시 농수산물 도매시장(천안 농수산물 도매시장),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a7686987-3389-4b0a-a8dc-0d85c4deef8b,쇼핑,쇼핑,상설시장,4770
천안시 서북구,충청남도,성환이화시장 / 성환장 (1_ 6일),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=383ef5a0-3058-4dce-aae4-052ff7e9a14b,쇼핑,쇼핑,5일장,2698
천안시 서북구,충청남도,성성호수공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=99f9963a-eac0-400d-9bfb-ac77ec97efce,인문(문화/예술/역사),휴양관광지,공원,2151
천안시 서북구,충청남도,소우리생고기집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0a44bcce-5fd0-4f06-ba6c-db483cccecdb,음식,음식점,한식,2019
천안시 서북구,충청남도,마정 낚시터 (마정지 낚시터),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6d1ea4b5-eb64-4433-855f-b92a28807a6a,레포츠,수상 레포츠,민물낚시,1823
천안시 서북구,충청남도,파라프라,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c6709930-2a05-4070-af84-f332d671a687,음식,음식점,한식,1809
천안시 서북구,충청남도,석곡낚시터,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=30657c00-65ff-4050-8207-631639d7e2e5,레포츠,수상 레포츠,민물낚시,815
천안시 서북구,충청남도,불당동 유적공원 (선사유적지 공원),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6bc5dcd3-b3d7-45e5-8d3b-8b2f65e18411,인문(문화/예술/역사),역사관광지,유적지/사적지,711
천안시 서북구,충청남도,에코힐링 황톳길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9f6e16fd-55e5-428c-93cd-4a1f787c84e9,인문(문화/예술/역사),휴양관광지,공원,675
천안시 서북구,충청남도,엄가네본가시골집,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ff33afaf-77e9-4763-bd24-0a408e2ac879,음식,음식점,한식,671
천안시 서북구,충청남도,남창낚시터(남창지),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e4ae016a-84f1-4de4-9340-a11076aa5b27,레포츠,수상 레포츠,민물낚시,547
천안시 서북구,충청남도,시장저수지(시장지),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=85ab3824-ec2d-40d7-99b3-583cb5d3ec77,자연,자연관광지,강,399
천안시 서북구,충청남도,천안시청 봉서홀,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=886bfe8f-d909-4d3a-8311-3fac609f36f9,인문(문화/예술/역사),문화시설,공연장,375
천안시 서북구,충청남도,이봉원의봉짬뽕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f7097f37-d079-4abb-9953-2505eeb29f2f,음식,음식점,중식,305
천안시 서북구,충청남도,천안가족캠핑장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=33b48e3c-1abb-47c1-ab96-af8ad311b204,레포츠,육상 레포츠,야영장_오토캠핑장,294
천안시 서북구,충청남도,천안 등촌샤브칼국수 두정점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=000c21cf-7ad8-46f0-902a-7e85a6422c20,음식,음식점,한식,288
천안시 서북구,충청남도,천안시 성정평생학습관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f9e88966-820c-4c81-9663-d3ac2601a290,인문(문화/예술/역사),문화시설,공연장,234
천안시 서북구,충청남도,정석볼링365 & 정석락볼링장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=320b205e-bcb3-430e-9b3c-791d81aef4b9,레포츠,육상 레포츠,트래킹,224
천안시 서북구,충청남도,더참맛수육국밥&보쌈두정본점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c3a0fcc2-a994-4809-b603-21e7e715f659,음식,음식점,한식,208
천안시 서북구,충청남도,성정공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8abbae8c-704d-4d9d-9d1f-a238d6c3f5b8,인문(문화/예술/역사),휴양관광지,공원,191
천안시 서북구,충청남도,성환장 (1_ 6일) / 성환이화시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=383ef5a0-3058-4dce-aae4-052ff7e9a14b,쇼핑,쇼핑,5일장,181
천안시 서북구,충청남도,배나무숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=06c651ed-45e3-4ee5-89c2-ab3bd5c45c0c,음식,음식점,카페/전통찻집,177
천안시 서북구,충청남도,마정저수지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b37312f1-a075-4d32-bc69-5930048c6ccd,자연,자연관광지,강,176
천안시 서북구,충청남도,롤킹롤러스케이트장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=387edeb4-4ec8-4386-94f9-71affe7cceb0,레포츠,육상 레포츠,스케이트,174
천안시 서북구,충청남도,호수매운탕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f448d7ab-e37d-44d9-ae67-8518d87788d1,음식,음식점,한식,171
천안시 서북구,충청남도,정철희 국제승마센터 천안점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d49c0153-4108-4d44-b295-19a20458f40c,레포츠,육상 레포츠,승마,168
천안시 서북구,충청남도,갤러리아 백화점 (센터시티점),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61b06ad9-97fe-4223-8f97-87c2aeb73b1f,쇼핑,쇼핑,백화점,165
천안시 서북구,충청남도,물총새공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=65cc6248-c9f8-47cc-a418-c262f08f902f,인문(문화/예술/역사),휴양관광지,공원,160
천안시 서북구,충청남도,청룡원조매운탕,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cd384991-fbcf-453e-9b93-e949af3ba406,음식,음식점,한식,156
천안시 서북구,충청남도,천안시민체육공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f26f9455-0245-4a85-a1dd-8bd65d16fbef,인문(문화/예술/역사),휴양관광지,공원,153
천안시 서북구,충청남도,천안 봉선홍경사 갈기비,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1ff3e55c-4ce5-4c5a-8126-e009c4dcd845,인문(문화/예술/역사),건축/조형물,기념탑/기념비/전망대,137
천안시 서북구,충청남도,슈바이처도르프호텔,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7d0fa81d-77ee-405b-800a-1c7db1b0b6e5,숙박,숙박시설,관광호텔,130
천안시 서북구,충청남도,브라운도트 천안성정점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2d2cfee4-d459-41ee-9a4b-54a8c3eb656d,숙박,숙박시설,모텔,128
천안시 서북구,충청남도,갤러리아백화점 센터시티점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61b06ad9-97fe-4223-8f97-87c2aeb73b1f,쇼핑,쇼핑,백화점,127
천안시 서북구,충청남도,업성지,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9a87127c-f446-4588-91fa-ae21a9ee906a,자연,자연관광지,강,126
천안시 서북구,충청남도,천안승마클럽,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8659dfde-7898-4948-88f1-bd49270b3e6f,레포츠,육상 레포츠,승마,117
천안시 서북구,충청남도,신라스테이 천안,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=18f1bf4f-bf8a-4f59-a159-6ce0101de98e,숙박,숙박시설,관광호텔,112
