기준연월,목적지 유형,목적지 검색량
2023,전체,23484291
2019,전체,13254983
2022,전체,22348831
2021,전체,18893386
2020,전체,14932579
2022,레저스포츠,1034443
2022,체험관광,264531
2019,기타관광,2074216
2019,문화관광,1458959
2019,쇼핑,751588
2019,숙박,1373292
2019,음식,3850383
2019,역사관광,916583
2019,자연관광,1917964
2019,체험관광,273565
2019,레저스포츠,638433
2023,기타관광,2601142
2023,문화관광,2103837
2023,쇼핑,1580320
2023,숙박,2918906
2023,음식,9671216
2023,역사관광,1260216
2023,자연관광,1961704
2023,체험관광,323322
2023,레저스포츠,1063628
2021,음식,6548077
2020,문화관광,1303718
2020,쇼핑,847464
2020,숙박,1662720
2020,음식,4642607
2020,역사관광,988392
2020,자연관광,2555643
2020,체험관광,169107
2020,레저스포츠,753873
2021,기타관광,2299875
2021,문화관광,1679036
2021,쇼핑,1200107
2021,숙박,2132569
2020,기타관광,2009055
2021,역사관광,1174458
2021,자연관광,2765968
2021,체험관광,161753
2021,레저스포츠,931543
2022,기타관광,2570364
2022,문화관광,2018750
2022,쇼핑,1348821
2022,숙박,2754063
2022,음식,8314114
2022,역사관광,1252699
2022,자연관광,2791046
