"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002003000001","2003-07-01","","03","폐업","03","폐업","2004-07-09","","","","","","331-834","충청남도 천안시 서북구 성거읍 송남리 59-1번지","충청남도 천안시 서북구 성거읍 송남2길 22","331-830","중부물류상록플라자","2011-10-30 19:05:59","I","2018-08-31 23:59:59","","217814.406192828","373999.976386474","신고유원시설업","유원시설업","상업지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","88.2","9","0","N","N","N","N","","","0","","","","88",
"2","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002011000001","2011-06-08","","03","폐업","03","폐업","2014-01-23","","","","","","331-210","충청남도 천안시 서북구 두정동 1380번지 정안프라자 6층","충청남도 천안시 서북구 두정상가7길 22 (두정동)","331-962","두정놀이공원","2014-01-23 17:36:12","I","2018-08-31 23:59:59","","212440.29","369971.77","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002011000002","2011-06-17","","03","폐업","03","폐업","2014-01-23","","","","","","331-210","충청남도 천안시 서북구 두정동 1380번지 정안프라자4층","충청남도 천안시 서북구 두정상가7길 22 (두정동)","331-962","환타지파크","2014-01-23 17:35:15","I","2018-08-31 23:59:59","","212440.29","369971.77","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002012000001","2012-02-02","","03","폐업","03","폐업","2012-04-30","","","","","","331-091","충청남도 천안시 서북구 쌍용동 210-9번지 동성빌딩 303호","충청남도 천안시 서북구 차돌들길 7-3,  303호 (쌍용동,동성빌딩)","","월드놀이랜드","2013-06-05 16:40:46","I","2018-08-31 23:59:59","","211463.948649446","366215.818512729","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002017000001","2017-01-11","","03","폐업","03","폐업","2017-03-20","","","","","","","충청남도 천안시 동남구 신방동 71-8번지","충청남도 천안시 동남구 수곡로 67 (신방동, 충무랜드)","31176","캐치미","2017-03-27 18:00:25","I","2018-08-31 23:59:59","","211265.631767537","365276.107575781","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002017000003","2017-06-20","","03","폐업","03","폐업","2019-06-28","","","","","","","충청남도 천안시 서북구 두정동 698","충청남도 천안시 서북구 두정로 146 (두정동, 말우물빌딩)","31090","레이싱 키즈카페","2020-10-06 17:14:25","U","2020-10-08 02:40:00","","211798.979925461","370244.906823623","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"7","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002017000004","2017-08-01","","03","폐업","03","폐업","2024-04-30","","","","","","","충청남도 천안시 서북구 불당동 1289","충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트)","31168","플레이타임 펜타포트점","2024-05-16 15:28:32","U","2024-05-18 02:40:00","","208976.4764518","366326.634370741","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"8","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002017000005","2017-09-19","","03","폐업","03","폐업","2018-12-10","","","","","","","충청남도 천안시 서북구 두정동 1620번지","충청남도 천안시 서북구 봉정로 382, 2층 201호 (두정동, 성광빌딩)","31103","점핑하이","2018-12-26 17:42:49","U","2018-12-28 02:40:00","","212948.160478924","370522.47526471","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002017000007","2017-10-31","","03","폐업","03","폐업","2020-11-30","","","","","","","충청남도 천안시 동남구 신방동 784-9 홈플러스","충청남도 천안시 동남구 신촌1길 23, 4층 (신방동)","31177","맥스라이더 천안신방점","2021-01-05 15:34:24","U","2021-01-07 02:40:00","","210681.520347633","365092.813367026","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"10","유원시설업(기타)","03_07_08_P","4490000","CDFI5272002017000009","2017-11-08","","03","폐업","03","폐업","2020-06-30","","","","","","","충청남도 천안시 서북구 두정동 76","충청남도 천안시 서북구 두정역서3길 23, 2층 (두정동)","31103","아띠앙쥬 천안두정점","2021-02-16 11:28:44","U","2021-02-18 02:40:00","","213148.296629809","370204.045022182","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
