"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반유원시설업","03_07_09_P","4490000","CDFI5271002012000002","2012-05-22","","03","폐업","03","폐업","2016-05-09","","","","","","330-993","충청남도 천안시 동남구 신부동 461-1번지","충청남도 천안시 동남구 만남로 28 (신부동)","31123","즐팡디팡","2016-05-05 13:31:55","I","2018-08-31 23:59:59","","213780.822797404","368581.783366833","허가유원시설업","","일반상업지역","0","기타","","","유기장","0","1","0","0","","","0","0","","0","0","","0","261.59","타가다 1대","1","Y","","Y","Y","","","0","","","","262",
"2","일반유원시설업","03_07_09_P","4490000","CDFI5271002015000001","2015-08-10","","03","폐업","03","폐업","2018-02-28","","","","070-4680-4622","","","충청남도 천안시 서북구 불당동 1292번지 에이동 지하1층호","충청남도 천안시 서북구 공원로 195, 에이동 지하1층 (불당동, 펜타포트)","31168","주식회사 키즈올랜드","2018-03-12 07:24:16","I","2018-08-31 23:59:59","","208947.431401942","366497.827726821","허가유원시설업","","상업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사 유기기구1대(미니기차)","0","Y","Y","Y","Y","","","0","","","","0",
"3","일반유원시설업","03_07_09_P","4490000","CDFI5271002019000001","2019-04-16","","03","폐업","03","폐업","2020-10-27","","","","041-558-7809","","","충청남도 천안시 서북구 백석동 1050","충청남도 천안시 서북구 한들1로 188 (백석동)[*미고시]","31087","주식회사 알토란 천안지점 마치파크","2020-10-27 09:10:53","U","2020-10-29 02:40:00","","210601.448107609","370807.003301947","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"4","일반유원시설업","03_07_09_P","4490000","CDFI5271002022000001","2022-07-14","","03","폐업","03","폐업","2022-08-31","","","","","","","충청남도 천안시 서북구 불당동 1289 모다아울렛 고객센터 밖","충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트)","31168","모다아울렛 야외 수영장","2022-09-26 13:36:19","U","2022-09-28 02:40:00","","208976.4764518","366326.634370741","허가유원시설업","","상업지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","22.5","1, 미니워터에어바운스","1","Y","","","Y","","","0","","","","23",
"5","일반유원시설업","03_07_09_P","4490000","CDFI5271002023000001","2023-12-15","","03","폐업","03","폐업","2024-03-01","","","","0419018071","","","충청남도 천안시 동남구 성남면 용원리 672","충청남도 천안시 동남구 성남면 종합휴양지로 200","31246","어린이 눈썰매장","2024-04-24 10:40:54","U","2024-04-27 02:40:00","","219889.551999241","361773.964317459","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","우주전투기, 트램펄린, 에어바운스","0","Y","","Y","","","","0","","","","0",
"6","일반유원시설업","03_07_09_P","4490000","CDFI5271002012000001","2012-02-13","","01","영업/정상","13","영업중","","","","","","","330-160","충청남도 천안시 동남구 신부동 460-5","충청남도 천안시 동남구 먹거리10길 15 (신부동)","","디스코팡야","2023-07-26 17:25:11","U","2023-07-28 02:40:00","","213811.665726174","368518.085084438","허가유원시설업","","일반상업지역","2","학교정화(상대)","","","유기장","130","52","0","0","","","0","0","","0","0","","0","182","타가다 디스코 1대","0","Y","","Y","Y","","","0","","","","182",
"7","일반유원시설업","03_07_09_P","4490000","CDFI5271001987000001","1987-08-14","","01","영업/정상","13","영업중","","","","","041-560-0351","","","충청남도 천안시 동남구 목천읍 남화리 230","충청남도 천안시 동남구 목천읍 삼방로 95 (독립기념관)","31232","(주)한빛씨에스","2024-02-20 09:45:17","U","2024-02-22 02:40:00","","","","허가유원시설업","유원시설업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","1종 4대","0","Y","Y","Y","Y","","","0","","","","0",
"8","일반유원시설업","03_07_09_P","4490000","CDFI5271002024000001","2024-07-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 백석동 251 종합운동장","충청남도 천안시 서북구 번영로 208, 종합운동장 (백석동)","31157","2024 천안 야외 물놀이장 천안종합운동장 오륜문광장","2024-07-19 16:27:57","I","2024-07-21 00:14:12","","210178.819591002","368635.028176592","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","5개","0","","","","","","","0","","","","0",
"9","일반유원시설업","03_07_09_P","4490000","CDFI5271002021000001","2021-06-24","","01","영업/정상","13","영업중","","","","","041-560-0287","","","충청남도 천안시 동남구 목천읍 남화리 230-1 독립기념관","충청남도 천안시 동남구 목천읍 독립기념관로 1, 독립기념관","31232","MR독립영상관(독립기념관)","2022-07-01 16:48:40","U","2022-07-03 02:40:00","","219960.813859956","364590.654827133","허가유원시설업","","","1","","","","","0","0","0","0","","","0","0","","0","0","","0","1456","1건(4D Chair, 다이나믹시트)","0","","","","Y","","","0","","","","1456",
"10","일반유원시설업","03_07_09_P","4500000","CDFI5271002017000001","2017-09-29","","03","폐업","03","폐업","","","","","","","","충청남도 공주시 금성동 198-5","","","싱글벙글이동랜드","2020-10-04 11:43:41","U","2020-10-06 02:40:00","","210938.44531532","329082.654653043","허가유원시설업","","준주거지역","0","기타","","","","0","0","","","","","","","","","","","","0","디스코팡팡 1대. 미니기차 1대","","","","","","","","","","","","0",
