"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","관광펜션업","03_11_02_P","4500000","CDFI3261092015000001","2015-11-11","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 427-1번지","충청남도 공주시 반포면 제석골길 7-4","32626","펜션밀물떼","2015-11-11 16:56:58","I","2018-08-31 23:59:59","","222618.202949678","318083.751736528","관광펜션업","","","1","","","","숙박시설","1","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","관광펜션업","03_11_02_P","4500000","CDFI3261092015000002","2015-11-11","","01","영업/정상","13","영업중","","","","","855-2008","","","충청남도 공주시 반포면 마암리 648-7번지","충청남도 공주시 반포면 수목원길 25","32620","농업회사법인 주식회사 이안숲속","2016-09-23 13:13:08","I","2018-08-31 23:59:59","","217962.133790515","324528.434865411","관광펜션업","","","1","","","","숙박시설","1","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","관광펜션업","03_11_02_P","4500000","CDFI3261092020000001","2020-02-25","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 724번지","충청남도 공주시 반포면 천장이길 6","32626","계룡그린콘도","2020-02-25 17:10:31","I","2020-02-27 00:23:23","","221164.742219764","317524.28619141","관광펜션업","","","3","","","","숙박시설","2","1","","","","","","","","","","","","1754.22","","","","","","","","","3000000000","","","","1754",
"4","관광펜션업","03_11_02_P","4500000","CDFI3261092020000002","2020-02-25","","01","영업/정상","13","영업중","","","","","041-852-1946","","","충청남도 공주시 무릉동 473번지","충청남도 공주시 느랏티길 47-7 (무릉동)","32592","무릉펜션","2020-02-25 17:12:53","I","2020-02-27 00:23:23","","214701.293222963","328141.886137537","관광펜션업","","","2","","","","단독주택","2","","","","","","","","","","","","","177.47","","","","","","","","","","","","","177",
"5","관광펜션업","03_11_02_P","4500000","CDFI3261092020000003","2020-03-09","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 674-3","충청남도 공주시 반포면 동학사2로 72","32626","봄날처럼민박","2020-09-07 16:45:28","U","2020-09-09 02:40:00","","221917.076610079","317558.22405927","관광펜션업","","","3","","","","단독주택","","","","","","","","","","","","","","456.05","","","","","","","","","","","","","456",
"6","관광펜션업","03_11_02_P","4500000","CDFI3261092023000001","2023-04-05","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 공암리 3-12","충청남도 공주시 반포면 공암막골길 50","32622","베시두즈","2023-04-05 15:35:27","I","2023-04-07 00:20:23","","223187.011579067","322894.560676233","관광펜션업","","관리지역","1","주택가주변","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","124.78","","0","","","","","","","20000000","","","","125",
"7","관광펜션업","03_11_02_P","4500000","CDFI3261092024000002","2024-02-05","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 의당면 도신리 546-1","충청남도 공주시 의당면 의당전의로 1231-100","32516","라이트풀","2024-02-05 11:44:32","I","2024-02-07 00:16:02","","214955.54653971","341500.127750492","관광펜션업","","녹지지역","2","기타","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","160.5","","0","","","","","","","500000000","","","","161",
"8","관광펜션업","03_11_02_P","4500000","CDFI3261092018000002","2018-09-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 사곡면 고당리 262-3","충청남도 공주시 사곡면 단평길 148-3","32523","공주소풍관광펜션","2023-03-08 13:18:14","U","2023-03-10 02:40:00","","202006.186458734","335971.453297718","관광펜션업","","","2","","","","","","","","","","","","","","","","","","199.23","","","","","","","","","","","","","199",
"9","관광펜션업","03_11_02_P","4500000","CDFI3261092018000003","2018-09-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 사곡면 고당리 262-6번지","충청남도 공주시 사곡면 단평길 148-5","32523","공주알프스관광펜션","2018-09-28 17:05:35","U","2018-09-28 23:59:59","","202018.161700819","335926.737317637","관광펜션업","","","1","","","","","","","","","","","","","","","","","","150.66","","","","","","","","","","","","","151",
"10","관광펜션업","03_11_02_P","4500000","CDFI3261092018000001","2018-09-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 사곡면 고당리 300-1번지","충청남도 공주시 사곡면 단평길 245","32523","굿모닝 관광펜션","2018-09-28 09:37:42","U","2018-09-28 23:59:59","","201857.456079459","336623.832527502","관광펜션업","","","1","","","","","","","","","","","","","","","","","","140.35","","","","","","","","","","","","","140",
