"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인관광도시민박업","03_11_04_P","4490000","CDFI2262212016000002","2016-05-05","","03","폐업","03","폐업","2019-12-16","","","","","","","충청남도 천안시 동남구 용곡동 580번지","충청남도 천안시 동남구 일봉로 72, 201동 1401호 (용곡동, 동일하이빌2단지아파트)","","하늘 바람 별 n 시","2019-12-18 16:22:04","U","2019-12-20 02:40:00","","212015.983698473","365626.31175536","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","외국인관광도시민박업","03_11_04_P","4490000","CDFI2262212016000001","2016-01-27","","03","폐업","03","폐업","2017-02-01","","","","","","","충청남도 천안시 동남구 신방동 920번지 초원그린타운 109동 403호","충청남도 천안시 동남구 신촌4로 16, 109동 403호 (신방동, 초원아파트)","","earth 게스트하우스","2017-02-20 14:04:11","I","2018-08-31 23:59:59","","211203.561276534","365130.550674912","외국인관광 도시민박업","","","15","아파트지역","","","아파트","15","0","0","0","","","0","0","","0","0","","0","39.27","","0","","","","","","","0","","","","39",
"3","외국인관광도시민박업","03_11_04_P","4490000","CDFI2262212022000001","2022-11-01","","03","폐업","03","폐업","2023-06-28","","","","","","","충청남도 천안시 동남구 다가동 400-1","충청남도 천안시 동남구 다가9길 32, 2층 (다가동)","31154","포레스트","2023-07-25 09:54:17","U","2023-07-27 02:40:00","","212852.525458444","366421.005947561","외국인관광 도시민박업","","주거지역","0","","","","단독주택","0","0","0","0","Forest","Urban private room rental business for foreign tourists","0","0","","0","0","","0","67.86","","0","","","","","","","0","","","","68",
"4","외국인관광도시민박업","03_11_04_P","4490000","CDFI2262212023000002","2023-07-04","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 두정동 1745","충청남도 천안시 서북구 두정역동1길 16, 토마토빌2 404호 (두정동)","31111","그린티파티 두정스테이션","2023-07-19 11:29:04","U","2023-07-21 02:40:00","","213249.035096854","370571.441803244","외국인관광 도시민박업","","일반주거지역","1","학교정화(상대)","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","43.6","","0","","","","","","","10000000","","","","44",
"5","외국인관광도시민박업","03_11_04_P","4490000","CDFI2262212023000001","2023-05-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 신부동 498-1 새동빌리지","충청남도 천안시 동남구 신부14길 11-6, 301호 (신부동, 새동빌리지)","31124","마블시티","2023-05-02 17:56:35","I","2023-05-04 00:20:00","","214408.958842411","368694.637112454","외국인관광 도시민박업","","일반주거지역","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","134.49","","0","","","","","","","10000000","","","","134",
"6","외국인관광도시민박업","03_11_04_P","4490000","CDFI2262212024000001","2024-05-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 불당동 1002","충청남도 천안시 서북구 불당9길 5, 302호 (불당동)","31164","글로리 하우스","2024-05-31 18:04:51","I","2024-06-02 00:14:24","","209474.858632938","366918.573800684","외국인관광 도시민박업","","일반주거지역","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","50","","0","","","","","","","0","","","","50",
"7","외국인관광도시민박업","03_11_04_P","4500000","CDFI2262212017000002","2017-03-30","","03","폐업","03","폐업","2023-02-16","","","","","","","충청남도 공주시 봉황동 86","충청남도 공주시 제민천1길 35-1 (봉황동)","32549","작은숲 게스트하우스","2023-02-17 08:55:47","U","2023-02-19 02:40:00","","210892.558179575","327597.765641075","외국인관광 도시민박업","","주거지역","1","주택가주변","","","단독주택","1","0","","","","","","","","","","","","36","","","","","","","","","","","","","36",
"8","외국인관광도시민박업","03_11_04_P","4500000","CDFI2262212016000001","2016-10-10","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 산성동 152-3번지","충청남도 공주시 남문길 22 (산성동)","32555","오라이하우스","2016-10-10 17:01:42","I","2018-08-31 23:59:59","","211265.003405115","328839.391857335","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","단독주택","1","","","","","","","","","","","","","164.96","","","","","","","","","","","","","165",
"9","외국인관광도시민박업","03_11_04_P","4500000","CDFI2262212017000001","2017-02-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 금성동 73-52번지","충청남도 공주시 정자방1길 22-13 (금성동)","32536","미나리깡","2017-02-02 10:09:17","I","2018-08-31 23:59:59","","210696.911210819","329439.587110013","외국인관광 도시민박업","","주거지역","2","학교정화(상대)","","","단독주택","2","1","","","","","","","","","","","","84.21","","","","","","","","","10000000","","","","84",
"10","외국인관광도시민박업","03_11_04_P","4500000","CDFI2262212022000001","2022-02-22","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 옥룡동 324-2","충청남도 공주시 중골4길 18-7 (옥룡동)","32561","공주가온","2022-02-22 12:37:09","I","2022-02-24 00:22:37","","","","외국인관광 도시민박업","","일반주거지역","1","학교정화(상대)","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
