"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","자동차야영장업","03_11_05_P","4490000","CDFI2262142017000001","2017-09-07","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 풍세면 삼태리 산 28-1","","","태학산 자연휴양림 오토캠핑장","2024-01-25 13:44:22","U","2024-01-27 02:40:00","","207940.953995668","358270.675470853","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","자동차야영장업","03_11_05_P","4490000","CDFI2262142019000001","2019-03-29","","01","영업/정상","13","영업중","","","","","041-560-0114","","","충청남도 천안시 동남구 목천읍 신계리 1-1","충청남도 천안시 동남구 목천읍 독립기념관로 1, 독립기념관","31232","독립기념관 캠핑장","2022-08-03 10:12:01","U","2022-08-05 02:40:00","","219152.000405509","364400.931321263","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","100539","","0","","","","","","","0","","","","100539",
"3","자동차야영장업","03_11_05_P","4490000","CDFI2262142023000003","2023-06-27","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 북면 대평리 156-9","충청남도 천안시 동남구 북면 대평1길 292-1","31062","파파스 캠핑장","2023-12-01 10:32:53","U","2023-12-03 02:40:00","","226391.096633867","374701.211182046","자동차야영장업","","관리지역","0","기타","","","기타","0","0","0","0","","","0","0","","0","0","","0","2997","","0","","","","","","","0","","","","2997",
"4","자동차야영장업","03_11_05_P","4490000","CDFI2262142023000002","2023-05-04","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 북면 오곡리 380-4","충청남도 천안시 동남구 북면 위례성로 733-1","31238","위례성캠핑장","2023-05-08 10:49:48","U","2023-05-10 02:40:00","","","","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3271","","0","","","","","","","0","","","","3271",
"5","자동차야영장업","03_11_05_P","4490000","CDFI2262142023000001","2023-04-17","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 광덕면 광덕리 749","충청남도 천안시 동남구 광덕면 해수길 291","31220","천안 트리하우스","2023-04-17 17:37:11","I","2023-04-19 00:20:32","","202103.556051511","351689.302501565","자동차야영장업","","","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","368","","0","","","","","","","200000000","","","","368",
"6","자동차야영장업","03_11_05_P","4490000","CDFI2262142018000001","2018-09-07","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 목천읍 교촌리 105-1","충청남도 천안시 동남구 목천읍 교촌7길 46-13","31229","천안시 국민여가캠핑장","2022-01-21 16:19:52","U","2022-01-23 02:40:00","","220123.642629276","366681.715581645","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","12859","","0","","","","","","","0","","","","12859",
"7","자동차야영장업","03_11_05_P","4490000","CDFI2262142023000004","2023-10-19","","01","영업/정상","13","영업중","","","","","07042685260","","","충청남도 천안시 동남구 북면 납안리 413-6","","","몽키캠핑장","2023-11-27 14:14:11","U","2023-11-29 02:40:00","","222156.252850992","371785.697428346","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3679","","0","","","","","","","330000000","","","","3679",
"8","자동차야영장업","03_11_05_P","4500000","CDFI2262142013000001","2013-12-18","","03","폐업","03","폐업","2023-06-05","","","","","","314-894","충청남도 공주시 유구읍 탑곡리 150","충청남도 공주시 유구읍 무드리길 64","32500","사계절 오토캠핑장","2023-06-05 13:25:17","U","2023-06-08 02:40:00","","197092.239114928","348590.65715852","자동차야영장업","","","","","","","","","","","","","","","","","","","","","2960","","","","","","","","","","","","","2960",
"9","자동차야영장업","03_11_05_P","4500000","CDFI2262142015000001","2015-05-07","","03","폐업","03","폐업","2018-09-14","","","","041-853-8400","","314-862","충청남도 공주시 우성면 상서리 117번지 외1(128-2)","","","우성낚시＆ 캠핑","2018-09-17 11:32:08","U","2018-09-17 23:59:59","","207705.649361497","330167.204167194","자동차야영장업","","관리지역","1","기타","","","단독주택","1","","","","","","","","","","","","","12279","","","","","","","","","","","","","12279",
"10","자동차야영장업","03_11_05_P","4500000","CDFI2262142014000001","2014-02-18","","01","영업/정상","13","영업중","","","","","041-840-8900","","314-020","충청남도 공주시 웅진동 344-38","충청남도 공주시 관광단지길 12 (웅진동)","32535","웅진오토캠핑장","2021-01-22 13:57:46","U","2021-01-24 02:40:00","","209586.456023946","329295.414440511","자동차야영장업","","","","","","","","","","","","","","","","","","","","","29023","","","","","","","","","","","","","29023",
