"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","한옥체험업","03_11_06_P","4490000","CDFI2262222023000001","2023-03-31","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 성거읍 천흥리 39-4","충청남도 천안시 서북구 성거읍 천흥4길 181-34","31044","금당채","2023-12-12 10:38:47","U","2023-12-14 02:40:00","","219513.494723692","374551.352149937","한옥체험업","","","1","기타","","","","0","0","0","0","","","0","0","","0","0","","0","148.07","","0","","","","","","","200000000","","","","148",
"2","한옥체험업","03_11_06_P","4490000","CDFI2262222019000001","2019-10-25","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 북면 양곡리 273-1","충청남도 천안시 동남구 북면 양곡1길 225","","시골램핑","2022-01-26 10:59:42","U","2022-01-28 02:40:00","","225330.647594267","372122.489988896","한옥체험업","","","1","","","","단독주택","1","0","4","74","","","0","0","","0","0","","0","73.8","","0","","","","","","","0","","","","74",
"3","한옥체험업","03_11_06_P","4500000","CDFI3261132018000002","2018-07-04","","03","폐업","03","폐업","2018-08-07","","2018-08-07","","","","","충청남도 공주시 금성동 134-25번지","충청남도 공주시 송산리길 38-2 (금성동)","32536","소향각","2018-08-09 12:47:41","I","2018-08-31 23:59:59","","210365.492998188","329029.032439844","한옥체험업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","한옥체험업","03_11_06_P","4500000","CDFI3261132017000001","2017-03-10","","03","폐업","03","폐업","2018-06-25","","2018-06-25","","","","","충청남도 공주시 금성동 134-25번지","충청남도 공주시 송산리길 38-2 (금성동)","32536","송산리 한옥마을","2018-06-28 14:29:00","I","2018-08-31 23:59:59","","210365.492998188","329029.032439844","한옥체험업","","주거지역","1","주택가주변","","","단독주택","1","0","","","","","","","","","","","","71.28","","","","","","","","","","","","","71",
"5","한옥체험업","03_11_06_P","4500000","CDFI2262222019000001","2019-08-01","","03","폐업","03","폐업","2021-04-20","","2021-04-20","","","","","충청남도 공주시 금성동 197-11","","","공산성게스트하우스","2021-04-21 11:02:40","I","2021-04-23 00:22:58","","210916.626794323","329061.381615764","한옥체험업","","","2","","","","단독주택","2","","","","","","","","","","","","","82.5","","","","","","","","","","","","","83",
"6","한옥체험업","03_11_06_P","4500000","CDFI2262222019000004","2019-11-12","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 봉황동 127-2","","","진흥채","2023-07-31 17:21:50","I","2023-08-02 00:18:52","","210823.187038416","327768.527451217","한옥체험업","","","2","","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","97.2","","0","","","","","","","0","","","","97",
"7","한옥체험업","03_11_06_P","4500000","CDFI3261132016000001","2016-01-05","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 반포면 학봉리 85-1번지","충청남도 공주시 반포면 동월1길 268-6","32626","(주)계룡산 전통한옥체험마을 솔향","2016-01-07 11:02:00","I","2018-08-31 23:59:59","","223152.585584221","314991.083023065","한옥체험업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"8","한옥체험업","03_11_06_P","4500000","CDFI3261132017000002","2017-04-25","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 금성동 177-5번지","충청남도 공주시 백미고을길 14 (금성동)","32537","달빛정원","2018-06-12 17:13:53","I","2018-08-31 23:59:59","","210870.298608012","329405.131315595","한옥체험업","","준주거지역","2","기타","","","단독주택","2","0","","","","","","","","","","","","246.28","","","","","","","","","","","","","246",
"9","한옥체험업","03_11_06_P","4500000","CDFI3261132017000003","2017-12-11","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 금성동 203-6","충청남도 공주시 미나리1길 18-4 (금성동)","32538","황토한옥고마","2020-08-07 14:58:12","U","2020-08-09 02:40:00","","210894.218021211","328949.339499375","한옥체험업","","준주거지역","2","기타","","","단독주택","2","","","","","","","","","","","","","99","","","","","","","","","","","","","99",
"10","한옥체험업","03_11_06_P","4500000","CDFI3261132018000001","2018-06-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 공주시 봉황동 180번지","충청남도 공주시 큰샘3길 8 (봉황동)","32550","봉황재","2019-10-24 09:37:46","U","2019-10-26 02:40:00","","210688.989718467","327763.836976149","한옥체험업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
