"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","4490000","CDFI2260042015000002","2015-08-21","","03","폐업","03","폐업","2016-07-30","","","","0415646888","","","충청남도 천안시 동남구 대흥동 4-14번지","충청남도 천안시 동남구 대흥로 270 (대흥동)","31128","주식회사 세민투어","2017-03-08 09:48:30","I","2018-08-31 23:59:59","","213228.659425858","367838.584186616","종합여행업","","상업지역","5","","","충남관광협회","근린생활시설","5","1","0","0","Semin Tour Co. Ltd","General Travel Business","0","0","","0","0","","0","72","","0","","","","","","","200000000","20151002","20161002","","72","",
"2","종합여행업","03_12_03_P","4490000","CDFI2260042009000001","2009-01-02","","03","폐업","03","폐업","2009-10-23","","","","041-554-8877","","331-230","충청남도 천안시 서북구 불당동 705번지 아선프라자 701호","","","(주)동화나라리조트천공엔지니어링","2009-10-23 15:22:33","I","2018-08-31 23:59:59","","209764.17872252","367772.382764766","종합여행업","","근린상업지역","11","결혼예식장주변","","","근린생활시설","9","2","0","0","","","0","0","","0","0","","0","171.96","","0","","","","","","","350000000","","","","172","",
"3","종합여행업","03_12_03_P","4490000","CDFI2260042009000002","2009-02-04","","03","폐업","03","폐업","2009-11-23","","","","041-589-0893","","331-816","충청남도 천안시 서북구 직산읍 삼은리 511번지 충남테크노파크 영상미디어센타 연구동 315","충청남도 천안시 서북구 직산읍 직산로 136  (충남테크노파크 영상미디어센타 연구동 315)","","(주)드림픽쳐스21","2009-11-23 10:40:30","I","2018-08-31 23:59:59","","214061.931394107","375804.12427938","종합여행업","","일반공업지역","7","기타","","","사무실","6","1","0","0","","","0","0","","0","0","","0","297.45","","0","","","","","","","350000000","","","","297","",
"4","종합여행업","03_12_03_P","4490000","CDFI2260042014000002","2014-11-13","","03","폐업","03","폐업","2017-08-31","","","","","","331-959","충청남도 천안시 서북구 두정동 863번지","충청남도 천안시 서북구 원두정3길 20 (두정동)","31107","강남국제여행사(주)","2017-09-01 17:38:35","I","2018-08-31 23:59:59","","212190.244678958","370071.49622567","종합여행업","","일반주거지역","4","기타","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","6","","0","","","","","","","200000000","","","","6","",
"5","종합여행업","03_12_03_P","4490000","CDFI2260042015000001","2015-05-27","","03","폐업","03","폐업","2019-12-13","","","","1566-2201","","","충청남도 천안시 서북구 불당동 1480번지","충청남도 천안시 서북구 불당25로 226, 골든스퀘어2 712~715호 (불당동)","31156","주식회사 스타패밀리","2019-12-13 09:59:51","U","2019-12-15 02:40:00","","209736.245103466","368877.753530465","종합여행업","","일반상업지역","8","기타","","한국관광협회중앙회 여행공제회","근린생활시설","7","1","0","0","","","0","0","","0","0","","0","74","","0","","","","","","","200000000","20180411","20190410","","74","",
"6","종합여행업","03_12_03_P","4490000","CDFI2260042016000001","2016-04-20","","03","폐업","03","폐업","2021-05-01","","","","","","","충청남도 천안시 서북구 성정동 196-16 성정빌딩 320호","충청남도 천안시 서북구 봉정로 116, 성정빌딩 320호 (성정동)","31145","(주) 매튼","2021-06-02 11:25:13","U","2021-06-04 02:40:00","","212562.352738979","367886.908023614","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","20200502","20210501","","0","",
"7","종합여행업","03_12_03_P","4490000","CDFI2260042018000001","2018-06-19","","03","폐업","03","폐업","2020-11-04","","","","0415795510","","","충청남도 천안시 서북구 쌍용동 1420","충청남도 천안시 서북구 쌍용13길 18-8, 201호 (쌍용동)","31172","(주)순달투어","2020-11-04 20:55:56","U","2020-11-06 02:40:00","","210558.944832457","366512.076783884","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20190621","20200620","","0","",
"8","종합여행업","03_12_03_P","4490000","CDFI2260042019000001","2018-06-22","","03","폐업","03","폐업","2022-06-27","","","","041-576-4040","","","충청남도 천안시 서북구 쌍용동 308-48","충청남도 천안시 서북구 미라16길 12, 101호 (쌍용동)","31167","효자손","2022-06-24 16:05:02","U","2022-06-26 02:40:00","","211294.673499226","367406.366137633","종합여행업","","","0","","","서울보증보험(주)","단독주택","0","0","0","0","JOY GLOBAL","General travel business","0","0","","0","0","","0","0","","0","","","","","","","130000000","20190625","20200624","","0","",
"9","종합여행업","03_12_03_P","4490000","CDFI2260042022000001","2022-01-20","","03","폐업","03","폐업","2023-11-28","","","","","","","충청남도 천안시 서북구 성환읍 성환리 653-4","충청남도 천안시 서북구 성환읍 성환1로 318","31013","주식회사 케이엔케이코퍼레이션스","2023-11-29 10:49:16","U","2023-12-01 02:40:00","","211312.783613212","380182.284375158","종합여행업","","일반주거지역","0","","","서울보증보험주식회사","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","82.5","","0","","","","","","","100000000","20220124","20230123","","83","",
"10","종합여행업","03_12_03_P","4490000","CDFI2260042011000001","2011-04-05","","01","영업/정상","13","영업중","","","","","041-523-5800","","330-160","충청남도 천안시 동남구 신부동 53-2","충청남도 천안시 동남구 천안대로 802 (신부동)","31067","그레이하운드(주)","2024-04-16 10:35:56","U","2024-04-18 02:40:00","","214689.347081567","368672.679173698","종합여행업","","","0","","","한국관광협회중앙회 여행공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","20240425","20250425","","0","",
