구분,읍,면,동,출장소,법정동 동,법정동 리,행정리 리,행정리 통,반,면적(제곱킬로미터),가구(세대),인구 (명)
천안시,4,8,19,,31,148,470,748,4577,636.15,306418,655959
공주시,1,9,6,,27,161,249,146,2046,864.15,53019,102104
보령시,1,10,5,2,10,101,235,128,1269,586.87,49709,95772
아산시,2,9,6,,19,143,452,152,2988,542.78,159108,345796
서산시,1,9,5,,14,125,275,102,2127,742.28,83665,176011
논산시,2,11,2,,11,173,429,70,2463,556.21,57648,110423
계룡시,,3,1,,1,15,86,20,571,60.69,19404,46667
당진시,2,9,3,,11,138,226,57,1611,705.62,83058,170302
금산군,1,9,,1,,106,260,,1138,577.21,26562,50093
부여군,1,15,,,,191,437,,1709,624.65,32667,61046
서천군,2,11,,,,172,315,,1284,366.13,26543,49116
청양군,1,9,,,,115,183,,759,479.25,16722,30168
홍성군,3,8,,1,,141,352,,1167,446.71,47463,97524
예산군,2,10,,1,,177,315,,1244,542.72,40245,78354
태안군,2,6,,,,65,190,,831,515.98,33318,60784
