시군명,사 찰 명,소 재 지,창립연대,종 파,연락처
공주시,갑 사,계룡면 갑사로 567-3,420년,조계종,041-857-8981
공주시,마곡사,사곡면 마곡사로 966,640년,조계종,041-841-6221
공주시,한국문화연수원,사곡면 마곡사로 1065,2004년,조계종,041-841-5050
공주시,학림사,공주시 반포면 제석골길 65,,조계종,041-825-0515
서산시,부석사,부석면 부석사길243,신라시대,조계종,041-662-3824
서산시,서광사,부춘산1로 44,통일신라시대,조계종,041-664-2001
논산시,지장정사,노성면 화곡안길 103,1974,법륜종,041-732-5629
계룡시,무상사,엄사면 향적산길 129,2000,관음선종,042-841-6084
당진시,영랑사,고대면 진관로 142-52,삼국시대,조계종,041-353-8053
부여군,무량사,외산면 무량로 203,고려시대,조계종,041-836-5066
예산군,수덕사,덕산면 수덕사안길 79,599,조계종,041-330-7700
